"","participant","subject_id","block_num","known_t_to_target","cc_time","time_since_start","time_to_end","time_since_last_cc","block_duration","cens","accessed_pm","pm_acc","pm_count","r_check","r_to_target"
"110",3,3,0,2.16785579999805,297.832144200002,322.814657700001,0,24.9825134999991,322.814657700001,0,1,22.8271653999981,8,0.0773896503894686,0.00671548130882176
"111",3,3,1,300,0,135.950723800001,139.3002603,135.950723800001,275.250984100001,0,1,9.99195080000004,8,0.493915486785722,1.08991435936522
"112",3,3,1,164.049276199999,135.950723800001,245.499918200001,29.7510659,109.5491944,275.250984100001,0,1,9.99195080000004,8,0.397997466778175,0.595998872579502
"113",3,3,1,54.500081799999,245.499918200001,275.250984100001,0,29.7510659,275.250984100001,0,1,9.99195080000004,8,0.108087046436103,0.198001405801327
"114",3,3,2,300,0,164.1593698,129.91626,164.1593698,294.0756298,0,1,15.7952308000001,8,0.558221604121512,1.02014573667335
"115",3,3,2,135.8406302,164.1593698,239.4634194,54.6122104000001,75.3040496000001,294.0756298,0,1,15.7952308000001,8,0.256070350512262,0.461924132551837
"116",3,3,2,60.5365806,239.4634194,294.0756298,0,54.6122104000001,294.0756298,0,1,15.7952308000001,8,0.185708045366227,0.205853782039575
"117",3,3,3,300,0,145.4007739,127.5521059,145.4007739,272.9528798,0,1,0.469483399999945,8,0.532695511425045,1.09909080358419
"118",3,3,3,154.5992261,145.4007739,231.1217443,41.8311354999998,85.7209704000002,272.9528798,0,1,0.469483399999945,8,0.314050434136508,0.566395292159142
"119",3,3,3,68.8782557,231.1217443,269.8513328,3.10154699999998,38.7295884999999,272.9528798,0,1,0.469483399999945,8,0.141891115156499,0.252344858022634
"120",3,3,3,30.1486672000001,269.8513328,272.9528798,0,3.10154699999998,272.9528798,1,1,0.469483399999945,8,0.011362939281947,0.110453742866134
"121",3,3,4,300,0,190.7970807,96.7015578,190.7970807,287.4986385,0,1,1.15231050000011,8,0.663645162618744,1.04348320244306
"122",3,3,4,109.2029193,190.7970807,287.4986385,0,96.7015578,287.4986385,0,1,1.15231050000011,8,0.336354837381256,0.379838039824319
"123",3,3,5,300,0,146.6629137,156.6523031,146.6629137,303.3152168,0,1,14.6276449000002,8,0.483532990027027,0.989070061057352
"124",3,3,5,153.3370863,146.6629137,232.8678565,70.4473603000001,86.2049428,303.3152168,0,1,14.6276449000002,8,0.284209093462138,0.505537071030325
"125",3,3,5,67.1321435,232.8678565,303.3152168,0,70.4473603000001,303.3152168,0,1,14.6276449000002,8,0.232257916510835,0.221327977568186
"126",3,3,6,300,0,96.7674898,183.3138061,96.7674898,280.0812959,0,1,6.88732560000017,8,0.345497865143233,1.07111758047246
"127",3,3,6,203.2325102,96.7674898,161.9703183,118.1109776,65.2028284999997,280.0812959,0,1,6.88732560000017,8,0.232799653009602,0.725619715329231
"128",3,3,6,138.0296817,161.9703183,280.0812959,0,118.1109776,280.0812959,0,1,6.88732560000017,8,0.421702481847165,0.492820062319629
"129",3,3,7,300,0,83.20588,200.540396,83.20588,283.746276,0,1,2.10429729999987,8,0.293240430052375,1.05728259848598
"130",3,3,7,216.79412,83.20588,144.4641158,139.2821602,61.2582358,283.746276,0,1,2.10429729999987,8,0.215890889084303,0.764042168433605
"131",3,3,7,155.5358842,144.4641158,260.963145,22.7831309999997,116.4990292,283.746276,0,1,2.10429729999987,8,0.410574654378901,0.548151279349302
"132",3,3,7,39.0368549999998,260.963145,273.9631166,9.78315939999993,12.9999715999998,283.746276,0,1,2.10429729999987,8,0.0458154791783056,0.137576624970401
"133",3,3,7,26.0368834000001,273.9631166,283.746276,0,9.78315939999993,283.746276,0,1,2.10429729999987,8,0.0344785473061149,0.0917611457920952
"134",4,4,0,300,0,147.7049254,148.0717812,147.7049254,295.7767066,0,1,4.19171390000002,3,0.499379843321306,1.01427865449091
"135",4,4,0,152.2950746,147.7049254,246.9476219,48.8290847,99.2426965000001,295.7767066,0,1,4.19171390000002,3,0.335532495580232,0.514898811169601
"136",4,4,0,53.0523780999999,246.9476219,279.9917085,15.7849980999999,33.0440866,295.7767066,0,1,4.19171390000002,3,0.111719705651763,0.179366315589369
